participant_id,age_range,web_app_familiarity,ai_tool_familiarity,baseline_is_version_a,baseline_duration_ms,ephemeral_duration_ms,baseline_interactions,ephemeral_interactions,baseline_correct,ephemeral_correct,baseline_helpfulness,baseline_intrusiveness,baseline_control,ephemeral_helpfulness,ephemeral_intrusiveness,ephemeral_control,final_preference,final_real_life
fa9e1e03-02c0-4578-80ab-d8b4805c032f,22,6,5,false,4009,5355,1,4,0,0,5,6,6,3,4,4,ephemeral,ephemeral
9e58c027-81d8-47e6-8c24-a06465d01306,22,7,7,true,34786,30819,4,9,1,1,5,1,7,7,6,5,ephemeral,ephemeral
22c50dcb-4e7b-43bc-98a3-ef541f3751c0,20,7,3,true,35709,56892,5,11,1,1,3,6,5,3,6,4,baseline,baseline
ecb1f957-17b2-44d5-a597-42f605a3f34b,21,5,4,true,16347,161888,4,11,1,1,7,2,7,6,6,5,baseline,baseline
395dc208-4dfc-4d23-bbd1-032bb02d2b5f,23,7,7,true,107297,60900,4,11,1,1,4,2,6,6,5,6,no_preference,baseline
88ec30ab-8850-4408-9c50-1fb4a5645f49,22,3,5,false,25509,10968,1,6,0,0,3,3,3,5,6,6,ephemeral,ephemeral
1850e5c7-8c34-4e78-a786-e752c1cdff45,23,7,6,false,73365,143016,4,13,1,1,6,1,7,6,4,7,baseline,baseline
d4cc7231-ff1e-44de-8c77-252e1f700b97,22,7,7,false,10340,15111,1,6,0,1,3,1,6,7,3,6,ephemeral,ephemeral
e6b298d6-eff1-49ff-83d6-0957bb6709a3,19,6,4,false,10315,87474,1,12,0,1,3,5,7,4,4,4,ephemeral,ephemeral
70e0323f-d812-4e01-89af-dd3de51a8730,19,7,5,false,73437,86500,1,4,0,0,2,2,2,2,2,1,no_preference,no_preference
66671b35-2be3-4651-badb-b7537d015da9,22,7,5,true,74330,56101,4,13,1,1,5,3,5,6,4,7,ephemeral,no_preference
b3ed9198-31a5-46a8-a5e9-e2a095a8c9cc,22,6,6,false,47863,57488,4,13,1,1,3,3,4,5,3,5,ephemeral,ephemeral
5421d955-289d-42d4-a503-9beb08be6529,19,5,7,false,16350,105289,1,4,0,0,7,1,7,7,2,6,no_preference,no_preference
03847aa8-53a8-489f-94f6-23174b47d01e,19,6,7,true,104288,35043,7,11,1,1,6,5,6,6,5,6,no_preference,no_preference
656e2023-7953-4c5d-a1bb-992ef48dc02b,21,7,6,true,49302,37551,4,15,1,1,6,6,7,5,6,7,no_preference,baseline
d1531aa8-cd2c-4dba-bc41-9dd99ec79f93,23,7,7,true,69573,83728,3,18,1,1,7,7,7,6,6,5,baseline,baseline
5194ff6e-af33-4f7e-a684-f8555e93a38e,24,5,7,true,3300,3190,1,2,0,0,4,3,3,6,6,6,ephemeral,ephemeral
d6a3764a-3236-4fb4-a222-1bf5e8826bfd,19,6,5,true,124073,66341,3,13,1,1,3,4,3,7,4,3,no_preference,baseline
c395b375-f730-45a7-b0c7-6a94470645c0,21,6,7,true,18357,6825,1,4,0,0,6,5,6,6,5,7,ephemeral,ephemeral
2c6eb6a8-6252-4c5d-9373-958c35ce8eb3,22,2,6,true,65655,49204,4,16,1,1,4,6,3,3,7,2,baseline,baseline
