participant_id,question_key,baseline_rating,ephemeral_rating
9e58c027-81d8-47e6-8c24-a06465d01306,helpfulness,5,7
9e58c027-81d8-47e6-8c24-a06465d01306,intrusiveness,1,6
9e58c027-81d8-47e6-8c24-a06465d01306,control,7,5
88ec30ab-8850-4408-9c50-1fb4a5645f49,helpfulness,3,5
88ec30ab-8850-4408-9c50-1fb4a5645f49,intrusiveness,3,6
88ec30ab-8850-4408-9c50-1fb4a5645f49,control,3,6
fa9e1e03-02c0-4578-80ab-d8b4805c032f,helpfulness,5,3
fa9e1e03-02c0-4578-80ab-d8b4805c032f,intrusiveness,6,4
fa9e1e03-02c0-4578-80ab-d8b4805c032f,control,6,4
22c50dcb-4e7b-43bc-98a3-ef541f3751c0,helpfulness,3,3
22c50dcb-4e7b-43bc-98a3-ef541f3751c0,intrusiveness,6,6
22c50dcb-4e7b-43bc-98a3-ef541f3751c0,control,5,4
395dc208-4dfc-4d23-bbd1-032bb02d2b5f,helpfulness,4,6
395dc208-4dfc-4d23-bbd1-032bb02d2b5f,intrusiveness,2,5
395dc208-4dfc-4d23-bbd1-032bb02d2b5f,control,6,6
ecb1f957-17b2-44d5-a597-42f605a3f34b,helpfulness,7,6
ecb1f957-17b2-44d5-a597-42f605a3f34b,intrusiveness,2,6
ecb1f957-17b2-44d5-a597-42f605a3f34b,control,7,5
d4cc7231-ff1e-44de-8c77-252e1f700b97,helpfulness,3,7
d4cc7231-ff1e-44de-8c77-252e1f700b97,intrusiveness,1,3
d4cc7231-ff1e-44de-8c77-252e1f700b97,control,6,6
66671b35-2be3-4651-badb-b7537d015da9,helpfulness,5,6
66671b35-2be3-4651-badb-b7537d015da9,intrusiveness,3,4
66671b35-2be3-4651-badb-b7537d015da9,control,5,7
b3ed9198-31a5-46a8-a5e9-e2a095a8c9cc,helpfulness,3,5
b3ed9198-31a5-46a8-a5e9-e2a095a8c9cc,intrusiveness,3,3
b3ed9198-31a5-46a8-a5e9-e2a095a8c9cc,control,4,5
1850e5c7-8c34-4e78-a786-e752c1cdff45,helpfulness,6,6
1850e5c7-8c34-4e78-a786-e752c1cdff45,intrusiveness,1,4
1850e5c7-8c34-4e78-a786-e752c1cdff45,control,7,7
e6b298d6-eff1-49ff-83d6-0957bb6709a3,helpfulness,3,4
e6b298d6-eff1-49ff-83d6-0957bb6709a3,intrusiveness,5,4
e6b298d6-eff1-49ff-83d6-0957bb6709a3,control,7,4
70e0323f-d812-4e01-89af-dd3de51a8730,helpfulness,2,2
70e0323f-d812-4e01-89af-dd3de51a8730,intrusiveness,2,2
70e0323f-d812-4e01-89af-dd3de51a8730,control,2,1
5421d955-289d-42d4-a503-9beb08be6529,helpfulness,7,7
5421d955-289d-42d4-a503-9beb08be6529,intrusiveness,1,2
5421d955-289d-42d4-a503-9beb08be6529,control,7,6
03847aa8-53a8-489f-94f6-23174b47d01e,helpfulness,6,6
03847aa8-53a8-489f-94f6-23174b47d01e,intrusiveness,5,5
03847aa8-53a8-489f-94f6-23174b47d01e,control,6,6
d6a3764a-3236-4fb4-a222-1bf5e8826bfd,helpfulness,3,7
d6a3764a-3236-4fb4-a222-1bf5e8826bfd,intrusiveness,4,4
d6a3764a-3236-4fb4-a222-1bf5e8826bfd,control,3,3
656e2023-7953-4c5d-a1bb-992ef48dc02b,helpfulness,6,5
656e2023-7953-4c5d-a1bb-992ef48dc02b,intrusiveness,6,6
656e2023-7953-4c5d-a1bb-992ef48dc02b,control,7,7
5194ff6e-af33-4f7e-a684-f8555e93a38e,helpfulness,4,6
5194ff6e-af33-4f7e-a684-f8555e93a38e,intrusiveness,3,6
5194ff6e-af33-4f7e-a684-f8555e93a38e,control,3,6
c395b375-f730-45a7-b0c7-6a94470645c0,helpfulness,6,6
c395b375-f730-45a7-b0c7-6a94470645c0,intrusiveness,5,5
c395b375-f730-45a7-b0c7-6a94470645c0,control,6,7
d1531aa8-cd2c-4dba-bc41-9dd99ec79f93,helpfulness,7,6
d1531aa8-cd2c-4dba-bc41-9dd99ec79f93,intrusiveness,7,6
d1531aa8-cd2c-4dba-bc41-9dd99ec79f93,control,7,5
2c6eb6a8-6252-4c5d-9373-958c35ce8eb3,helpfulness,4,3
2c6eb6a8-6252-4c5d-9373-958c35ce8eb3,intrusiveness,6,7
2c6eb6a8-6252-4c5d-9373-958c35ce8eb3,control,3,2
8a7c44c4-b9e8-4c78-bef0-2074c8658bbd,helpfulness,6,6
8a7c44c4-b9e8-4c78-bef0-2074c8658bbd,intrusiveness,4,4
8a7c44c4-b9e8-4c78-bef0-2074c8658bbd,control,6,7
