participant_id,baseline_sec,ephemeral_sec
fa9e1e03-02c0-4578-80ab-d8b4805c032f,4.01,5.36
9e58c027-81d8-47e6-8c24-a06465d01306,34.79,30.82
22c50dcb-4e7b-43bc-98a3-ef541f3751c0,35.71,56.89
ecb1f957-17b2-44d5-a597-42f605a3f34b,16.35,161.89
395dc208-4dfc-4d23-bbd1-032bb02d2b5f,107.30,60.90
88ec30ab-8850-4408-9c50-1fb4a5645f49,25.51,10.97
1850e5c7-8c34-4e78-a786-e752c1cdff45,73.37,143.02
d4cc7231-ff1e-44de-8c77-252e1f700b97,10.34,15.11
e6b298d6-eff1-49ff-83d6-0957bb6709a3,10.32,87.47
70e0323f-d812-4e01-89af-dd3de51a8730,73.44,86.50
66671b35-2be3-4651-badb-b7537d015da9,74.33,56.10
b3ed9198-31a5-46a8-a5e9-e2a095a8c9cc,47.86,57.49
5421d955-289d-42d4-a503-9beb08be6529,16.35,105.29
03847aa8-53a8-489f-94f6-23174b47d01e,104.29,35.04
656e2023-7953-4c5d-a1bb-992ef48dc02b,49.30,37.55
d1531aa8-cd2c-4dba-bc41-9dd99ec79f93,69.57,83.73
5194ff6e-af33-4f7e-a684-f8555e93a38e,3.30,3.19
d6a3764a-3236-4fb4-a222-1bf5e8826bfd,124.07,66.34
c395b375-f730-45a7-b0c7-6a94470645c0,18.36,6.83
